activation,bn_position,model_num,neuron_idx,correlation
LeakyReLU,before_bn,10,28,0.7954
LeakyReLU,before_bn,10,29,0.4845
LeakyReLU,before_bn,10,30,0.7422
LeakyReLU,before_bn,10,31,0.7181
LeakyReLU,before_bn,10,32,0.6352
LeakyReLU,before_bn,10,33,0.5484
LeakyReLU,before_bn,10,34,0.6376
LeakyReLU,before_bn,10,35,0.4583
LeakyReLU,before_bn,10,36,0.7253
LeakyReLU,before_bn,10,37,0.7673
LeakyReLU,before_bn,10,38,0.7125
LeakyReLU,before_bn,10,39,0.7662
LeakyReLU,before_bn,10,40,0.6834
LeakyReLU,before_bn,10,41,0.575
LeakyReLU,before_bn,10,42,0.7479
LeakyReLU,before_bn,10,43,0.5901
LeakyReLU,before_bn,10,44,0.6372
LeakyReLU,before_bn,10,45,0.5978
LeakyReLU,before_bn,10,46,0.4189
LeakyReLU,before_bn,10,47,0.5113
LeakyReLU,before_bn,10,48,0.6616
LeakyReLU,before_bn,10,49,0.7936
LeakyReLU,before_bn,10,50,0.5328
LeakyReLU,before_bn,10,51,0.6688
LeakyReLU,before_bn,10,52,0.6753
LeakyReLU,before_bn,10,53,0.7628
LeakyReLU,before_bn,10,54,0.5391
LeakyReLU,before_bn,10,55,0.7545
LeakyReLU,before_bn,10,56,0.7224
LeakyReLU,before_bn,10,57,0.5781
